Date,AAPL
2020-01-02,72.71605682373047
2020-01-03,72.00912475585938
2020-01-06,72.58290100097656
2020-01-07,72.2415542602539
2020-01-08,73.40364074707031
2020-01-09,74.96282196044922
2020-01-10,75.13226318359375
2020-01-13,76.7374267578125
2020-01-14,75.70120239257812
2020-01-15,75.37678527832031
2020-01-16,76.32101440429688
2020-01-17,77.16594696044922
2020-01-21,76.64299774169922
2020-01-22,76.91658020019531
2020-01-23,77.28699493408203
2020-01-24,77.06427001953125
2020-01-27,74.79816436767578
2020-01-28,76.9141616821289
2020-01-29,78.52416229248047
2020-01-30,78.41034698486328
2020-01-31,74.93373107910156
2020-02-03,74.72795104980469
2020-02-04,77.19501495361328
2020-02-05,77.8244857788086
2020-02-06,78.73477935791016
2020-02-07,77.66458129882812
2020-02-10,78.03343200683594
2020-02-11,77.56262969970703
2020-02-12,79.4045639038086
2020-02-13,78.83914184570312
2020-02-14,78.8585433959961
2020-02-18,77.41460418701172
2020-02-19,78.53578186035156
2020-02-20,77.73008728027344
2020-02-21,75.97064971923828
2020-02-24,72.36202239990234
2020-02-25,69.91097259521484
2020-02-26,71.02001953125
2020-02-27,66.37755584716797
2020-02-28,66.33873748779297
2020-03-02,72.51492309570312
2020-03-03,70.21188354492188
2020-03-04,73.46865844726562
2020-03-05,71.0855484008789
2020-03-06,70.14151763916016
2020-03-09,64.59387969970703
2020-03-10,69.24604034423828
2020-03-11,66.84109497070312
2020-03-12,60.24021911621094
2020-03-13,67.45746612548828
2020-03-16,58.77928924560547
2020-03-17,61.36382293701172
2020-03-18,59.861637115478516
2020-03-19,59.40297317504883
2020-03-20,55.63174057006836
2020-03-23,54.449893951416016
2020-03-24,59.91259765625
2020-03-25,59.58255386352539
2020-03-26,62.71796798706055
2020-03-27,60.121307373046875
2020-03-30,61.83705139160156
2020-03-31,61.710853576660156
2020-04-01,58.46379852294922
2020-04-02,59.439369201660156
2020-04-03,58.585147857666016
2020-04-06,63.69596862792969
2020-04-07,62.95821762084961
2020-04-08,64.56961059570312
2020-04-09,65.0355453491211
2020-04-13,66.31204986572266
2020-04-14,69.66101837158203
2020-04-15,69.02519989013672
2020-04-16,69.57364654541016
2020-04-17,68.62962341308594
2020-04-20,67.2051010131836
2020-04-21,65.12777709960938
2020-04-22,67.00367736816406
2020-04-23,66.74402618408203
2020-04-24,68.67089080810547
2020-04-27,68.71942138671875
2020-04-28,67.60551452636719
2020-04-29,69.8260269165039
2020-04-30,71.2990951538086
2020-05-01,70.15122985839844
2020-05-04,71.14380645751953
2020-05-05,72.2115707397461
2020-05-06,72.95659637451172
2020-05-07,73.71131896972656
2020-05-08,75.46578216552734
2020-05-11,76.65325164794922
2020-05-12,75.7772445678711
2020-05-13,74.8623046875
2020-05-14,75.32221984863281
2020-05-15,74.87689971923828
2020-05-18,76.6410903930664
2020-05-19,76.19822692871094
2020-05-20,77.68012237548828
2020-05-21,77.10099792480469
2020-05-22,77.59740447998047
2020-05-26,77.07179260253906
2020-05-27,77.40760040283203
2020-05-28,77.44165802001953
2020-05-29,77.36624145507812
2020-06-01,78.31768798828125
2020-06-02,78.68024444580078
2020-06-03,79.1134033203125
2020-06-04,78.43206024169922
2020-06-05,80.66586303710938
2020-06-08,81.14281463623047
2020-06-09,83.70512390136719
2020-06-10,85.8586654663086
2020-06-11,81.73655700683594
2020-06-12,82.44222259521484
2020-06-15,83.46178436279297
2020-06-16,85.6737289428711
2020-06-17,85.55447387695312
2020-06-18,85.58854675292969
2020-06-19,85.0994644165039
2020-06-22,87.32598114013672
2020-06-23,89.1899185180664
2020-06-24,87.61553192138672
2020-06-25,88.77867889404297
2020-06-26,86.0509033203125
2020-06-29,88.03407287597656
2020-06-30,88.7689437866211
2020-07-01,88.60106658935547
2020-07-02,88.60106658935547
2020-07-06,90.97115325927734
2020-07-07,90.68888854980469
2020-07-08,92.8010482788086
2020-07-09,93.20010375976562
2020-07-10,93.3631362915039
2020-07-13,92.93243408203125
2020-07-14,94.47032165527344
2020-07-15,95.1200180053711
2020-07-16,93.94957733154297
2020-07-17,93.75977325439453
2020-07-20,95.73567199707031
2020-07-21,94.41433715820312
2020-07-22,94.67959594726562
2020-07-23,90.37010192871094
2020-07-24,90.146240234375
2020-07-27,92.28271484375
2020-07-28,90.76675415039062
2020-07-29,92.50659942626953
2020-07-30,93.62596130371094
2020-07-31,103.4275131225586
2020-08-03,106.03363037109375
2020-08-04,106.74174499511719
2020-08-05,107.12864685058594
2020-08-06,110.86630249023438
2020-08-07,108.34567260742188
2020-08-10,109.9204330444336
2020-08-11,106.65142059326172
2020-08-12,110.19590759277344
2020-08-13,112.1461181640625
2020-08-14,112.04615783691406
2020-08-17,111.75363159179688
2020-08-18,112.68485260009766
2020-08-19,112.82622528076172
2020-08-20,115.3298110961914
2020-08-21,121.27301788330078
2020-08-24,122.72349548339844
2020-08-25,121.71671295166016
2020-08-26,123.37194061279297
2020-08-27,121.89708709716797
2020-08-28,121.69963073730469
2020-08-31,125.82672882080078
2020-09-01,130.83872985839844
2020-09-02,128.12799072265625
2020-09-03,117.86992645263672
2020-09-04,117.94793701171875
2020-09-08,110.0106430053711
2020-09-09,114.39859008789062
2020-09-10,110.66395568847656
2020-09-11,109.2110595703125
2020-09-14,112.48739624023438
2020-09-15,112.66291809082031
2020-09-16,109.33782958984375
2020-09-17,107.5924072265625
2020-09-18,104.17955017089844
2020-09-21,107.33885955810547
2020-09-22,109.0257797241211
2020-09-23,104.45257568359375
2020-09-24,105.52519989013672
2020-09-25,109.48408508300781
